abandonment	abandon
abasement	abase
abatement	abate
abbreviation	abbreviate
abdication	abdicate
abduction	abduct
abductor	abduct
abhorrence	abhor
abjuration	abjure
abolishment	abolish
abolition	abolish
abomination	abominate
abortion	abort
abrasion	abrade
abrasive	abrade
abridgement	abridge
abrogation	abrogate
absentee	absent
absorbent	absorb
absorber	absorb
absorption	absorb
abstainer	abstain
abstention	abstain
abstraction	abstract
abuser	abuse
abutment	abut
acceleration	accelerate
accelerator	accelerate
accentuation	accentuate
acceptance	accept
acceptation	accept
accession	ascend
acclimation	acclimate
acclimatization	acclimatize
accommodation	accommodate
accompaniment	accompany
accompanist	accompany
accomplishment	accomplish
accordance	accord
accreditation	accredit
accretion	accrete
accrual	accrue
accumulation	accumulate
accumulator	accumulate
accusation	accuse
accuser	accuse
achievement	achieve
acknowledgement	acknowledge
acknowledgment	acknowledge
acquaintance	acquaint
acquiescence	acquiesce
acquirement	acquire
acquirer	acquire
acquisition	acquire
acquittal	acquit
acting	act
action	act
activation	activate
actor	act
actress	act
ad	advertisement
adaptation	adapt
adapter	adapt
adaptor	adapt
addiction	addict
addition	add
addressee2	address
addressee	address
adherence	adhere
adherent	adhere
adhesion	adhere
adhesive	adhere
adjournment	adjourn
adjudication	adjudicate
adjudicator	adjudicate
adjuration	adjure
adjuster	adjust
adjustment	adjust
administration	administer
administrator	administrate
admiration	admire
admirer	admire
admission	admit
admittance	admit
admonition	admonish
adoption	adopt
adoration	adore
adorer	adore
adornment	adorn
adulterant	adulterate
adulteration	adulterate
advancement	advance
advancer	advance
adventurer	adventure
advertisement	advertise
advertiser	advertise
advice	advise
adviser	advise
advisor	advise
advisory	advice
advocacy	advocate
aeration	aerate
affectation	affect
affection	affect
affiliation	affiliate
affirmation	affirm
affliction	afflict
afforestation	afforest
agglomeration	agglomerate
aggrandizement	aggrandize
aggravation	aggravate
aggregation	aggregate
aggression	agress
agitation	agitate
agitator	agitate
agreement	agree
ailment	ail
alarmist	alarm
alienation	alienate
alignment	align
allegation	allege
alleviation	alleviate
alliance	ally
allocation	allocate
allocator	allocate
allotment	allot
allowance	allow
allurement	allure
allusion	allude
alteration	alter
alternation	alternate
amalgamation	amalgamate
amazement	amaze
amelioration	ameliorate
amendment	amend
amortization	amortize
amplification	amplify
amplifier	amplify
amputation	amputate
amusement	amuse
anaesthetist	anaesthetize
analysis	analyze
analyst	analyze
analyzer	analyze
anesthetist	anesthetize
angler	angle
animadversion	animadvert
animation	animate
annexation	annex
annihilation	annihilate
annotation	annotate
announcement	announce
announcer	announce
annoyance	annoy
annulment	annul
annunciation	annunciate
anointment	anoint
antagonism	antagonize
antagonist	antagonize
anticipation	anticipate
apologist	apologize
apology	apologize
apparition	appear
appearance	appear
appeasement	appease
applause	applaud
appliance	apply
applicant	apply
application	apply
appointee	appoint
appointment	appoint
apportionment	apportion
appraisal	appraise
appraiser	appraise
appreciation	appreciate
apprehension	apprehend
approbation	approve
appropriation	appropriate
appropriator	appropriate
approval	approve
approximation	approximate
arbitration	arbitrate
arbitrator	arbitrate
argument	argue
armor	arm
arraignment	arraign
arrangement2	arrange
arrangement1	arrange
arrester	arrest
arrival	arrive
articulation	articulate
ascendant	ascend
ascendency	ascend
ascendent	ascend
